"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"20 DIC 2023",1.0944,157.1200,0.9460,0.86555,1.9558,24.5380,7.4565,385.2300,0.8185,4.3413,4.9699,11.1290,150.3000,11.2895,7.5345,"_",31.8830,1.6186,5.3287,1.4609,7.8121,8.5439,16993.6200,3.9983,91.0595,1425.6200,18.6867,5.0977,1.7421,60.9910,1.4562,38.2520,20.1107
"21 DIC 2023",1.0983,156.7900,0.9432,0.86805,1.9558,24.4810,7.4558,382.4000,0.8203,4.3403,4.9699,11.0990,150.3000,11.3150,7.5345,"_",32.0229,1.6243,5.3688,1.4668,7.8426,8.5781,16989.2700,3.9718,91.4335,1431.0400,18.7425,5.1131,1.7536,60.9780,1.4598,38.2760,20.1365
"22 DIC 2023",1.1023,156.6600,0.9417,0.86660,1.9558,24.5890,7.4560,381.9300,0.8217,4.3420,4.9708,11.0556,150.5000,11.2705,7.5345,"_",32.2044,1.6197,5.3624,1.4639,7.8640,8.6105,17029.6500,3.9764,91.6280,1430.0500,18.6955,5.1059,1.7505,61.0670,1.4593,38.0840,20.3070
"25 DIC 2023","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.5345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"26 DIC 2023","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.5345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"27 DIC 2023",1.1065,157.8100,0.9438,0.86830,1.9558,24.6730,7.4549,381.6300,0.8241,4.3308,4.9728,11.0660,150.7000,11.2355,7.5345,"_",32.5339,1.6170,5.3434,1.4612,7.9086,8.6409,17060.2900,4.0028,92.1860,1432.6700,18.7422,5.1220,1.7483,61.6190,1.4628,38.0970,20.4288
"28 DIC 2023",1.1114,156.5700,0.9302,0.87060,1.9558,24.7140,7.4545,383.1000,0.8251,4.3355,4.9753,11.0382,150.3000,11.2625,7.5345,"_",32.7501,1.6246,5.3739,1.4698,7.8941,8.6876,17136.7900,4.0221,92.4490,1429.0800,18.7767,5.1213,1.7536,61.5990,1.4643,37.9990,20.6003
"29 DIC 2023",1.1050,156.3300,0.9260,0.86905,1.9558,24.7240,7.4529,382.8000,0.8226,4.3395,4.9756,11.0960,150.5000,11.2405,7.5345,"_",32.6531,1.6263,5.3618,1.4642,7.8509,8.6314,17079.7100,3.9993,91.9045,1433.6600,18.7231,5.0775,1.7504,61.2830,1.4591,37.9730,20.3477
"01 ENE 2024","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.5345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 ENE 2024",1.0956,155.6800,0.9305,0.86645,1.9558,24.6870,7.4551,382.1000,0.8186,4.3708,4.9705,11.1545,150.7000,11.2815,7.5345,"_",32.5684,1.6147,5.3562,1.4565,7.8264,8.5609,17007.6600,3.9705,91.2850,1438.7800,18.6887,5.0425,1.7471,60.9810,1.4533,37.5630,20.3656
"03 ENE 2024",1.0919,156.1600,0.9322,0.86470,1.9558,24.6750,7.4581,380.7500,0.8173,4.3638,4.9725,11.1915,150.7000,11.3200,7.5345,"_",32.5178,1.6236,5.3859,1.4574,7.8057,8.5257,16994.3300,3.9867,90.9650,1432.2800,18.6682,5.0566,1.7515,60.6990,1.4503,37.6160,20.5326
"04 ENE 2024",1.0953,157.9100,0.9313,0.86278,1.9558,24.6520,7.4590,378.8500,0.8192,4.3460,4.9733,11.1905,150.5000,11.2845,7.5345,"_",32.6087,1.6280,5.3761,1.4603,7.8330,8.5523,16994.4600,3.9973,91.1745,1434.2500,18.6124,5.0762,1.7528,60.8330,1.4546,37.7500,20.4271
"05 ENE 2024",1.0921,158.5700,0.9320,0.86210,1.9558,24.6160,7.4584,378.2300,0.8182,4.3568,4.9737,11.2350,150.5000,11.3090,7.5345,"_",32.5888,1.6337,5.3724,1.4600,7.8130,8.5297,16967.4100,4.0194,90.8100,1439.6400,18.6066,5.0826,1.7564,60.7040,1.4537,37.9940,20.5511
"08 ENE 2024",1.0946,158.1900,0.9308,0.86150,1.9558,24.4880,7.4615,377.6500,0.8191,4.3465,4.9728,11.2095,150.7000,11.3620,7.5345,"_",32.7216,1.6378,5.3607,1.4651,7.8397,8.5459,16997.3900,4.0646,90.9655,1444.9400,18.4982,5.0910,1.7607,60.9140,1.4570,38.3380,20.4984
"09 ENE 2024",1.0940,157.6300,0.9313,0.85938,1.9558,24.5940,7.4577,378.8300,0.8185,4.3448,4.9716,11.2115,150.5000,11.3080,7.5345,"_",32.7533,1.6339,5.3475,1.4613,7.8381,8.5499,17006.3900,4.0782,90.9195,1442.6200,18.4514,5.0800,1.7526,61.3080,1.4557,38.2520,20.4380
"10 ENE 2024",1.0946,159.0300,0.9336,0.86023,1.9558,24.5620,7.4582,378.3500,0.8194,4.3410,4.9728,11.1970,150.1000,11.2915,7.5345,"_",32.8087,1.6334,5.3508,1.4649,7.8476,8.5602,17032.1400,4.1184,90.8755,1443.7700,18.5983,5.0806,1.7567,61.5930,1.4573,38.3380,20.4139
"11 ENE 2024",1.0987,159.7100,0.9338,0.86145,1.9558,24.6590,7.4568,378.8300,0.8212,4.3490,4.9722,11.1970,150.1000,11.3283,7.5345,"_",32.9577,1.6369,5.3606,1.4677,7.8649,8.5899,17084.7900,4.1044,91.2090,1444.3900,18.6688,5.1046,1.7577,61.5160,1.4600,38.4490,20.4331
"12 ENE 2024",1.0942,159.1700,0.9350,0.85950,1.9558,24.6890,7.4565,379.3500,0.8193,4.3628,4.9731,11.2600,150.1000,11.2765,7.5345,"_",32.9305,1.6375,5.3309,1.4634,7.8451,8.5599,17037.3500,4.0917,90.7350,1438.7300,18.4931,5.0853,1.7552,61.0920,1.4583,38.4060,20.4408
"15 ENE 2024",1.0945,159.6700,0.9351,0.86075,1.9558,24.7140,7.4590,379.6800,0.8197,4.3625,4.9743,11.2780,149.7000,11.3140,7.5345,"_",32.9445,1.6449,5.3333,1.4695,7.8529,8.5599,17031.6200,4.1074,90.6980,1446.9500,18.4899,5.1108,1.7679,61.0730,1.4601,38.2720,20.4310
"16 ENE 2024",1.0882,159.6400,0.9361,0.86078,1.9558,24.7100,7.4582,379.3600,0.8175,4.3870,4.9763,11.3215,149.3000,11.3335,7.5345,"_",32.7624,1.6484,5.3184,1.4661,7.8237,8.5160,16985.8800,4.0985,90.4250,1454.9200,18.5390,5.1058,1.7681,60.9390,1.4589,38.5220,20.5528
"17 ENE 2024",1.0877,160.6500,0.9406,0.85818,1.9558,24.7550,7.4586,380.8600,0.8175,4.3993,4.9755,11.3925,149.5000,11.4335,7.5345,"_",32.7803,1.6592,5.3673,1.4701,7.8262,8.5110,17001.2400,4.1149,90.4265,1463.1100,18.8054,5.1312,1.7779,60.8190,1.4615,38.6240,20.7331
"18 ENE 2024",1.0875,160.8900,0.9432,0.85773,1.9558,24.7340,7.4571,382.0000,0.8174,4.3990,4.9772,11.3640,149.5000,11.4460,7.5345,"_",32.7860,1.6579,5.3551,1.4681,7.8231,8.5062,16976.0400,4.0972,90.4295,1455.8000,18.6860,5.1308,1.7802,60.7260,1.4619,38.7100,20.5970
"19 ENE 2024",1.0887,161.1700,0.9459,0.85825,1.9558,24.8130,7.4575,381.5300,0.8178,4.3618,4.9776,11.3800,148.9000,11.4100,7.5345,"_",32.8706,1.6500,5.3444,1.4656,7.8291,8.5128,16991.8300,4.0721,90.4485,1451.9900,18.6494,5.1359,1.7798,60.9560,1.4599,38.6050,20.6892
"22 ENE 2024",1.0890,160.9500,0.9458,0.85575,1.9558,24.7580,7.4585,383.6800,0.8177,4.3640,4.9776,11.3545,148.5000,11.4410,7.5345,"_",32.9341,1.6520,5.3738,1.4620,7.8349,8.5130,17075.8500,4.1003,90.5305,1458.1900,18.5897,5.1472,1.7800,61.2730,1.4606,38.8070,20.8846
"23 ENE 2024",1.0872,160.8800,0.9446,0.85493,1.9558,24.8240,7.4574,385.1500,0.8164,4.3830,4.9769,11.3470,148.7000,11.4298,7.5345,"_",32.9205,1.6493,5.3981,1.4648,7.7953,8.5046,17081.1100,4.0931,90.3655,1454.2900,18.7548,5.1392,1.7839,61.1010,1.4568,38.8270,20.7022
"24 ENE 2024",1.0905,160.4600,0.9415,0.85543,1.9558,24.7860,7.4568,385.4300,0.8174,4.3725,4.9773,11.3585,147.9000,11.4155,7.5345,"_",32.8970,1.6520,5.3587,1.4669,7.7996,8.5265,17107.0600,4.0495,90.6274,1453.1700,18.7537,5.1597,1.7785,61.3620,1.4585,38.8050,20.5366
"25 ENE 2024",1.0893,160.8100,0.9420,0.85538,1.9558,24.7560,7.4560,385.1800,0.8174,4.3765,4.9768,11.3500,148.1000,11.3905,7.5345,"_",32.9892,1.6537,5.3664,1.4714,7.8093,8.5136,17266.5500,4.0319,90.5475,1456.2500,18.7648,5.1540,1.7805,61.5560,1.4591,38.9260,20.5812
"26 ENE 2024",1.0871,160.6200,0.9396,0.85368,1.9558,24.7480,7.4549,386.9500,0.8165,4.3775,4.9765,11.3203,148.3000,11.3325,7.5345,"_",32.9445,1.6483,5.3366,1.4607,7.7994,8.4933,17131.9400,4.0057,90.3690,1451.0800,18.6582,5.1393,1.7801,61.2800,1.4570,38.6790,20.4264
"29 ENE 2024",1.0823,160.1300,0.9339,0.85250,1.9558,24.8060,7.4538,390.0300,0.8143,4.3660,4.9773,11.3562,148.5000,11.3050,7.5345,"_",32.8509,1.6398,5.3134,1.4542,7.7702,8.4549,17127.1300,3.9834,89.9995,1445.6000,18.5591,5.1236,1.7696,61.0530,1.4516,38.4870,20.3022
"30 ENE 2024",1.0846,159.9700,0.9365,0.85628,1.9558,24.8310,7.4543,387.2300,0.8155,4.3618,4.9768,11.2971,148.3000,11.3383,7.5345,"_",32.9283,1.6462,5.3697,1.4564,7.7866,8.4775,17112.9800,3.9566,90.1575,1442.6700,18.6729,5.1274,1.7721,61.1710,1.4534,38.3840,20.4934
"31 ENE 2024",1.0837,160.1900,0.9348,0.85435,1.9558,24.8910,7.4550,384.9000,0.8150,4.3330,4.9758,11.2682,148.3000,11.3510,7.5345,"_",32.8984,1.6468,5.3749,1.4558,7.7789,8.4734,17076.2900,3.9431,90.0010,1444.6300,18.5817,5.1259,1.7705,61.0230,1.4517,38.4610,20.3238
"01 FEB 2024",1.0814,158.9600,0.9336,0.85353,1.9558,24.8900,7.4542,383.3500,0.8136,4.3373,4.9740,11.3354,148.3000,11.3665,7.5345,"_",32.8383,1.6594,5.3578,1.4544,7.7668,8.4563,17049.7300,3.9543,89.7330,1442.4300,18.6195,5.1150,1.7757,60.6450,1.4499,38.4010,20.2343
"02 FEB 2024",1.0883,159.5800,0.9315,0.85263,1.9558,24.8750,7.4540,383.7300,0.8165,4.3175,4.9727,11.2680,148.3000,11.3870,7.5345,"_",33.1435,1.6468,5.3471,1.4556,7.8111,8.5090,17012.5200,3.9685,90.2320,1440.7000,18.5579,5.1332,1.7673,60.8250,1.4533,38.3410,20.2973
"05 FEB 2024",1.0746,159.7200,0.9347,0.85595,1.9558,25.0060,7.4560,385.3000,0.8116,4.3343,4.9740,11.3740,148.1000,11.4650,7.5345,"_",32.8313,1.6562,5.3694,1.4507,7.7350,8.4053,16936.3900,3.9494,89.2515,1434.0900,18.4781,5.1049,1.7755,60.5680,1.4474,38.4920,20.4233
"06 FEB 2024",1.0743,159.5600,0.9366,0.85460,1.9558,24.9250,7.4605,386.8500,0.8110,4.3463,4.9763,11.3825,148.1000,11.4580,7.5345,"_",32.8325,1.6515,5.3380,1.4526,7.7231,8.4042,16909.4300,3.9195,89.2155,1426.7600,18.3200,5.1196,1.7713,60.3760,1.4448,38.2670,20.3273
"07 FEB 2024",1.0776,159.7100,0.9393,0.85305,1.9558,24.9840,7.4586,388.1500,0.8125,4.3453,4.9769,11.2725,148.3000,11.3760,7.5345,"_",32.9740,1.6504,5.3440,1.4501,7.7529,8.4273,16873.7100,3.9231,89.4220,1429.9200,18.3821,5.1305,1.7622,60.3020,1.4472,38.3840,20.3686
"08 FEB 2024",1.0758,160.5500,0.9409,0.85378,1.9558,24.9540,7.4562,387.0300,0.8122,4.3375,4.9771,11.2705,149.5000,11.4120,7.5345,"_",32.9243,1.6569,5.3546,1.4505,7.7420,8.4139,16843.4200,3.9612,89.2765,1433.0100,18.3777,5.1310,1.7668,60.1480,1.4489,38.6210,20.3930
"09 FEB 2024",1.0772,161.0000,0.9432,0.85440,1.9558,25.1720,7.4536,387.9800,0.8129,4.3206,4.9773,11.2815,148.1000,11.3990,7.5345,"_",33.0517,1.6543,5.3637,1.4486,7.7489,8.4237,16844.0700,3.9689,89.4363,1435.2500,18.4448,5.1329,1.7553,60.2150,1.4503,38.7200,20.4847
"12 FEB 2024",1.0773,160.5100,0.9430,0.85391,1.9558,25.2170,7.4548,387.3000,0.8128,4.3198,4.9743,11.2320,148.3000,11.3200,7.5345,"_",33.0770,1.6505,5.3366,1.4504,7.7497,8.4245,16792.5800,3.9540,89.4321,1431.5400,18.3703,5.1344,1.7568,60.3100,1.4484,38.6210,20.4662
"13 FEB 2024",1.0793,161.1700,0.9481,0.85098,1.9558,25.2850,7.4548,387.0000,0.8135,4.3198,4.9759,11.2510,148.7000,11.3020,7.5345,"_",33.1604,1.6526,5.3465,1.4511,7.7641,8.4372,16850.0300,3.9322,89.5790,1434.6400,18.4272,5.1439,1.7636,60.3980,1.4510,38.5200,20.3180
"14 FEB 2024",1.0713,161.2800,0.9493,0.85258,1.9558,25.3480,7.4537,388.7300,0.8105,4.3415,4.9754,11.3127,148.7000,11.3375,7.5345,"_",32.9417,1.6521,5.3069,1.4509,7.7065,8.3754,16717.1500,3.9220,88.9560,1428.4100,18.3559,5.1271,1.7607,60.1640,1.4451,38.7600,20.3982
"15 FEB 2024",1.0743,161.2600,0.9484,0.85635,1.9558,25.4160,7.4547,389.1000,0.8120,4.3440,4.9771,11.2575,148.7000,11.3610,7.5345,"_",33.0247,1.6525,5.3401,1.4547,7.7288,8.4009,16765.4200,3.8971,89.2210,1429.3500,18.3562,5.1363,1.7625,60.0960,1.4472,38.8290,20.4366
"16 FEB 2024",1.0768,161.8800,0.9491,0.85605,1.9558,25.4600,7.4546,389.1300,0.8132,4.3400,4.9771,11.2655,149.1000,11.3555,7.5345,"_",33.1951,1.6517,5.3551,1.4518,7.7461,8.4236,16837.3800,3.8864,89.3815,1435.0900,18.3536,5.1476,1.7648,60.2580,1.4500,38.8290,20.3375
"19 FEB 2024",1.0776,161.5900,0.9492,0.85448,1.9558,25.4550,7.4547,388.4000,0.8133,4.3265,4.9770,11.2370,148.7000,11.3045,7.5345,"_",33.2640,1.6479,5.3433,1.4522,7.7570,8.4273,16860.2400,3.9074,89.4620,1438.8700,18.3698,5.1585,1.7536,60.4100,1.4503,38.8260,20.4310
"20 FEB 2024",1.0802,162.1800,0.9526,0.85660,1.9558,25.4290,7.4542,388.2800,0.8146,4.3248,4.9768,11.2185,148.3000,11.3275,7.5345,"_",33.3825,1.6457,5.3521,1.4562,7.7718,8.4487,16916.4200,3.9502,89.6045,1440.7600,18.3792,5.1823,1.7493,60.5560,1.4525,38.9410,20.4673
"21 FEB 2024",1.0809,162.1200,0.9510,0.85619,1.9558,25.3800,7.4545,387.9800,0.8147,4.3165,4.9760,11.2075,148.5000,11.3345,7.5345,"_",33.5149,1.6486,5.3253,1.4618,7.7730,8.4544,16889.7700,3.9738,89.6320,1441.7700,18.4379,5.1818,1.7479,60.4800,1.4524,38.7390,20.3446
"22 FEB 2024",1.0844,163.1200,0.9535,0.85625,1.9558,25.3090,7.4540,386.8800,0.8166,4.3158,4.9768,11.1740,148.9000,11.3560,7.5345,"_",33.6091,1.6515,5.3499,1.4618,7.7988,8.4817,16904.3900,3.9607,89.8710,1438.7700,18.5070,5.1796,1.7497,60.4340,1.4552,38.9410,20.6686
"23 FEB 2024",1.0834,162.9100,0.9522,0.85340,1.9558,25.3540,7.4544,388.4700,0.8159,4.3118,4.9744,11.1545,148.5000,11.3890,7.5345,"_",33.6842,1.6467,5.3831,1.4587,7.7972,8.4760,16907.8700,3.9322,89.8170,1440.9500,18.5089,5.1759,1.7445,60.5620,1.4553,39.0130,20.8672
"26 FEB 2024",1.0852,163.3800,0.9546,0.85495,1.9558,25.3670,7.4542,389.5300,0.8170,4.3053,4.9722,11.1675,149.3000,11.4285,7.5345,"_",33.7742,1.6560,5.4111,1.4674,7.8100,8.4898,16962.5400,3.9603,89.9375,1444.4600,18.5473,5.1840,1.7560,60.8740,1.4582,38.9150,20.9499
"27 FEB 2024",1.0856,163.0400,0.9544,0.85620,1.9558,25.3320,7.4551,390.2000,0.8172,4.3153,4.9668,11.1805,149.3000,11.4310,7.5345,"_",33.8132,1.6565,5.3945,1.4650,7.8140,8.4947,16976.1200,3.9342,89.9755,1445.3100,18.5221,5.1696,1.7601,60.9020,1.4584,38.9320,20.7720
"28 FEB 2024",1.0808,162.8700,0.9520,0.85548,1.9558,25.3520,7.4540,391.9500,0.8151,4.2965,4.9683,11.1920,149.3000,11.4675,7.5345,"_",33.7087,1.6639,5.3497,1.4689,7.7807,8.4599,16983.1000,3.8965,89.5955,1445.3500,18.4801,5.1565,1.7728,60.8270,1.4554,38.8980,20.7857
"29 FEB 2024",1.0826,162.5300,0.9534,0.85655,1.9558,25.3630,7.4540,393.4800,0.8158,4.3208,4.9706,11.2150,149.3000,11.4920,7.5345,"_",33.8067,1.6684,5.4054,1.4719,7.7888,8.4735,17038.1800,3.8736,89.7458,1447.4300,18.4969,5.1375,1.7807,60.8580,1.4570,38.9090,20.9007
"01 MAR 2024",1.0813,162.8200,0.9582,0.85588,1.9558,25.3330,7.4543,393.2500,0.8153,4.3180,4.9695,11.1948,149.5000,11.4430,7.5345,"_",33.8944,1.6637,5.3656,1.4679,7.7837,8.4650,17000.0900,3.8522,89.6135,1444.2100,18.4079,5.1318,1.7764,60.6720,1.4563,38.8840,20.7358
"04 MAR 2024",1.0846,163.2200,0.9604,0.85583,1.9558,25.3560,7.4539,395.2500,0.8168,4.3220,4.9708,11.2424,149.5000,11.4325,7.5345,"_",34.1936,1.6640,5.3718,1.4719,7.8084,8.4861,17069.2700,3.8775,89.9399,1444.9400,18.4517,5.1231,1.7789,60.7240,1.4570,38.8720,20.6385
"05 MAR 2024",1.0849,163.0100,0.9609,0.85543,1.9558,25.3530,7.4542,395.7500,0.8169,4.3248,4.9718,11.2803,149.1000,11.4750,7.5345,"_",34.3474,1.6709,5.3713,1.4747,7.8104,8.4873,17079.6900,3.9034,89.9525,1447.9800,18.3924,5.1370,1.7847,60.7270,1.4578,38.8610,20.5862
"06 MAR 2024",1.0874,162.6700,0.9619,0.85498,1.9558,25.3590,7.4544,392.9500,0.8177,4.3018,4.9706,11.2555,148.9000,11.4680,7.5345,"_",34.5173,1.6667,5.3750,1.4770,7.8281,8.5088,17069.5200,3.9212,90.0560,1450.4100,18.3532,5.1456,1.7812,60.7310,1.4578,38.8200,20.5388
"07 MAR 2024",1.0895,161.0900,0.9577,0.85445,1.9558,25.3590,7.4552,395.4300,0.8179,4.3020,4.9707,11.1944,148.5000,11.3940,7.5345,"_",34.6929,1.6501,5.3835,1.4705,7.8412,8.5215,17038.2000,3.9092,90.1205,1446.6700,18.3715,5.1266,1.7688,60.7940,1.4549,38.7640,20.4622
"08 MAR 2024",1.0932,160.9900,0.9588,0.85168,1.9558,25.3080,7.4547,394.0500,0.8191,4.3065,4.9693,11.1640,149.3000,11.3395,7.5345,"_",34.9441,1.6469,5.4281,1.4701,7.8594,8.5492,16979.4700,3.9083,90.4365,1441.9100,18.4282,5.1216,1.7674,60.7600,1.4558,38.7760,20.3805
"11 MAR 2024",1.0926,160.4300,0.9594,0.85208,1.9558,25.3220,7.4552,395.5500,0.8185,4.2805,4.9644,11.1865,148.9000,11.4405,7.5345,"_",34.9650,1.6546,5.4549,1.4753,7.8471,8.5440,16920.9300,3.9429,90.4095,1432.4600,18.3589,5.1177,1.7705,60.4970,1.4535,38.6890,20.4277
"12 MAR 2024",1.0916,161.3900,0.9588,0.85458,1.9558,25.2720,7.4571,397.8000,0.8186,4.2865,4.9668,11.1730,148.7000,11.4673,7.5345,"_",34.9898,1.6533,5.4425,1.4739,7.8350,8.5405,16942.8300,3.9921,90.3560,1433.1600,18.3673,5.1060,1.7737,60.3870,1.4546,38.9920,20.3892
"13 MAR 2024",1.0939,161.8300,0.9599,0.85451,1.9558,25.2730,7.4573,396.9000,0.8198,4.2860,4.9683,11.1930,148.5000,11.4805,7.5345,"_",35.1136,1.6542,5.4506,1.4756,7.8678,8.5574,17039.0800,3.9947,90.5940,1439.0100,18.3472,5.1282,1.7770,60.5830,1.4581,39.0360,20.4535
"14 MAR 2024",1.0925,161.7000,0.9616,0.85420,1.9558,25.1980,7.4568,394.9000,0.8193,4.2935,4.9710,11.2245,148.5000,11.4670,7.5345,"_",35.0946,1.6529,5.4237,1.4725,7.8564,8.5455,17040.7100,3.9682,90.5220,1441.2400,18.2308,5.1195,1.7748,60.5030,1.4567,39.0020,20.3659
"15 MAR 2024",1.0892,162.0300,0.9613,0.85410,1.9558,25.1660,7.4571,393.2000,0.8181,4.2953,4.9711,11.2674,148.9000,11.5205,7.5345,"_",35.0917,1.6579,5.4461,1.4731,7.8380,8.5199,17011.0200,3.9811,90.2590,1448.7100,18.1915,5.1241,1.7860,60.4940,1.4562,39.0530,20.3515
"18 MAR 2024",1.0892,162.5100,0.9630,0.85525,1.9558,25.2000,7.4573,394.9500,0.8183,4.3113,4.9716,11.3178,148.9000,11.5565,7.5345,"_",35.1825,1.6583,5.4382,1.4745,7.8402,8.5168,17121.0800,3.9759,90.2850,1452.7500,18.2207,5.1394,1.7881,60.5600,1.4575,39.1730,20.5859
"19 MAR 2024",1.0854,163.3700,0.9630,0.85445,1.9558,25.2680,7.4571,394.5000,0.8171,4.3210,4.9742,11.3465,148.9000,11.5985,7.5345,"_",35.1056,1.6651,5.4766,1.4767,7.8140,8.4902,17089.5100,3.9805,90.1065,1453.2800,18.3376,5.1372,1.7938,60.7210,1.4565,39.1500,20.5442
"20 MAR 2024",1.0844,164.5400,0.9658,0.85438,1.9558,25.2890,7.4572,395.3300,0.8171,4.3248,4.9721,11.3595,148.5000,11.5725,7.5345,"_",35.1241,1.6633,5.4414,1.4736,7.8058,8.4837,17065.2000,3.9816,90.2400,1453.8600,18.2541,5.1379,1.7976,60.9780,1.4579,39.2440,20.4589
"21 MAR 2024",1.0907,164.9600,0.9766,0.85678,1.9558,25.2430,7.4579,393.3500,0.8200,4.3028,4.9734,11.3645,148.7000,11.5430,7.5345,"_",34.9445,1.6535,5.4210,1.4736,7.8520,8.5300,17092.1400,3.9186,90.6560,1449.0100,18.2610,5.1424,1.7963,61.0330,1.4619,39.3960,20.4181
"22 MAR 2024",1.0823,163.7400,0.9729,0.85795,1.9558,25.3710,7.4581,396.3000,0.8169,4.3170,4.9727,11.4025,148.9000,11.6170,7.5345,"_",34.6209,1.6601,5.4099,1.4688,7.8245,8.4645,17111.8100,3.9265,90.4090,1453.6200,18.1372,5.1274,1.8020,60.9280,1.4593,39.2980,20.5597
"25 MAR 2024",1.0835,163.7800,0.9724,0.85698,1.9558,25.2660,7.4585,396.1700,0.8171,4.3078,4.9712,11.4570,149.1000,11.6050,7.5345,"_",34.8332,1.6580,5.4069,1.4722,7.8134,8.4748,17100.9300,3.9369,90.3680,1453.3900,18.1374,5.1195,1.8046,60.9200,1.4573,39.3640,20.4889
"26 MAR 2024",1.0855,164.4000,0.9810,0.85846,1.9558,25.2770,7.4590,395.4500,0.8183,4.3093,4.9702,11.4530,149.3000,11.6260,7.5345,"_",34.9542,1.6574,5.4067,1.4718,7.8358,8.4920,17149.6000,3.9747,90.4365,1455.7500,18.1165,5.1236,1.8036,61.0550,1.4595,39.4150,20.5294
"27 MAR 2024",1.0816,163.5200,0.9811,0.85768,1.9558,25.3190,7.4582,395.4000,0.8164,4.3148,4.9721,11.5060,149.9000,11.6825,7.5345,"_",34.9005,1.6600,5.3969,1.4712,7.8182,8.4615,17194.2000,3.9582,90.1340,1461.3100,17.9367,5.1192,1.8043,60.8490,1.4586,39.3810,20.4716
"28 MAR 2024",1.0811,163.4500,0.9766,0.85510,1.9558,25.3050,7.4580,395.2600,0.8160,4.3123,4.9735,11.5250,150.3000,11.6990,7.5345,"_",34.9487,1.6607,5.4032,1.4672,7.8144,8.4594,17157.8700,3.9799,90.1365,1458.6700,17.9179,5.1168,1.8092,60.7970,1.4587,39.4120,20.5226
"29 MAR 2024","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.5345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"01 ABR 2024","_","_","_","_","_","_","_","_","_","_","_","_","_","_",7.5345,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 ABR 2024",1.0749,163.0100,0.9765,0.85510,1.9558,25.3610,7.4582,395.6300,0.8133,4.2938,4.9699,11.5575,150.1000,11.7080,7.5345,"_",34.6033,1.6522,5.4114,1.4577,7.7779,8.4148,17103.3800,3.9826,89.6490,1453.2300,17.8490,5.1106,1.8040,60.5060,1.4535,39.3950,20.2399
"03 ABR 2024",1.0783,163.6600,0.9792,0.85713,1.9558,25.3520,7.4589,393.2000,0.8151,4.2968,4.9687,11.5750,150.1000,11.6580,7.5345,"_",34.4418,1.6539,5.4681,1.4626,7.8023,8.4421,17196.7800,4.0165,90.0055,1456.0400,17.8782,5.1273,1.8054,60.8170,1.4571,39.5840,20.2667
"04 ABR 2024",1.0852,164.6900,0.9846,0.85788,1.9558,25.3220,7.4589,391.5500,0.8182,4.2955,4.9687,11.5105,150.3000,11.6125,7.5345,"_",34.6065,1.6446,5.4751,1.4652,7.8501,8.4957,17233.1900,4.0339,90.5116,1462.4600,17.9675,5.1433,1.7998,61.2430,1.4628,39.8810,20.2704
"05 ABR 2024",1.0841,164.1000,0.9793,0.85773,1.9558,25.2860,7.4590,390.1000,0.8174,4.2835,4.9677,11.5260,150.3000,11.6118,7.5345,"_",34.6312,1.6461,5.4633,1.4702,7.8421,8.4868,17192.6300,4.0725,90.3283,1464.0900,17.9104,5.1462,1.8001,61.2680,1.4608,39.7430,20.1710
"08 ABR 2024",1.0823,164.4300,0.9807,0.85795,1.9558,25.3540,7.4588,390.7800,0.8169,4.2773,4.9681,11.4675,150.3000,11.5905,7.5345,"_",34.8481,1.6433,5.4806,1.4715,7.8282,8.4761,17217.6600,4.0033,90.1590,1468.3700,17.8053,5.1425,1.7984,61.2040,1.4607,39.7690,20.1574
